mini_date,mini_time,mini_BV,mini_T,mini_DO,mini_Q,,,,,,
12/12/2017,6:17,3.52,29.387,3.481,1.001,,,,,,
12/12/2017,6:27,3.52,29.689,3.596,0.999,,,,,,
12/12/2017,6:37,3.52,29.482,3.583,1,,,,,,
12/12/2017,6:47,3.52,29.293,3.334,1,,,,,,
12/12/2017,6:57,3.52,29.93,4.006,1.001,,,,,,
12/12/2017,7:07,3.52,30.008,3.91,0.999,,,,,,
12/12/2017,7:17,3.52,30.181,4.014,1,,,,,,
12/12/2017,7:27,3.52,30.328,3.874,1,,,,,,
12/12/2017,7:37,3.52,30.267,3.801,0.999,,,,,,
12/12/2017,7:47,3.52,30.458,4.112,0.998,,,,,,
12/12/2017,7:57,3.52,30.397,3.929,0.998,,,,,,
12/12/2017,8:07,3.52,30.051,3.361,1,,,,,,
12/12/2017,8:17,3.52,29.887,3.487,1,,,,,,
12/12/2017,8:27,3.52,29.965,3.484,1.002,,,,,,
12/12/2017,8:37,3.52,29.792,3.424,1,,,,,,
12/12/2017,8:47,3.52,29.809,3.55,1,,,,,,
12/12/2017,8:57,3.52,30.017,3.72,1,,,,,,
12/12/2017,9:07,3.52,29.991,3.491,0.999,,,,,,
12/12/2017,9:17,3.52,30.017,3.663,0.999,,,,,,
12/12/2017,9:27,3.52,29.922,3.405,1.001,,,,,,
12/12/2017,9:37,3.52,29.896,3.48,1,,,,,,
12/12/2017,9:47,3.52,29.87,3.277,1,,,,,,
12/12/2017,9:57,3.52,29.87,3.387,1.001,,,,,,
12/12/2017,10:07,3.52,29.878,3.269,1,,,,,,
12/12/2017,10:17,3.52,29.861,3.301,1,,,,,,
12/12/2017,10:27,3.52,29.792,3.381,1,,,,,,
12/12/2017,10:37,3.52,29.706,3.23,1.001,,,,,,
12/12/2017,10:47,3.52,29.715,2.835,1.001,,,,,,
12/12/2017,10:57,3.52,29.671,3.05,1,,,,,,
